numero,date_transfert,montant,num_tblClubs,num_tblPersonnes
1,2021-08-01,0,2,1
2,2023-07-01,0,3,1
3,2003-08-01,19000000,5,2
4,2009-07-01,94000000,6,2
5,2018-07-01,100000000,7,2
6,2017-08-01,180000000,2,3
7,2013-06-01,88000000,1,4
8,2017-08-01,222000000,2,4
9,2023-08-01,90000000,8,4
10,2012-01-01,8000000,22,5
11,2014-01-01,22000000,13,5
12,2015-08-01,76000000,18,5
13,2010-06-01,4500000,15,6
14,2014-07-01,0,16,6
15,2022-07-01,45000000,1,6
16,2013-06-01,3000000,17,7
17,2015-09-01,15700000,18,7
18,2018-01-01,84500000,19,7
19,2005-08-01,27000000,6,8
20,2021-07-01,0,2,8
21,2023-09-01,0,20,8
22,2014-01-01,16500000,22,9
23,2016-08-01,15000000,24,9
24,2017-06-01,42000000,19,9
25,2009-07-01,35000000,6,10
26,2023-06-01,0,26,10
