numero,num_tblClubs,num_tblChampionnats,dateVictoire
1,1,15,1992
2,1,15,2006
3,1,15,2009
4,1,15,2011
5,1,15,2015
6,5,15,1968
7,5,15,1999
8,5,15,2008
9,6,15,1956
10,6,15,1957
11,6,15,1958
12,6,15,1959
13,6,15,1960
14,6,15,1966
15,6,15,1998
16,6,15,2000
17,6,15,2002
18,6,15,2014
19,6,15,2016
20,6,15,2017
21,6,15,2018
22,6,15,2022
23,7,15,1985
24,7,15,1996
25,15,15,1997
26,16,15,1974
27,16,15,1975
28,16,15,1976
29,16,15,2001
30,16,15,2013
31,16,15,2020
32,17,15,1967
33,19,15,1977
34,19,15,1978
35,19,15,1981
36,19,15,1984
37,19,15,2005
38,19,15,2019
39,22,15,2012
40,22,15,2021
